7.1.1.2	ist das klar
7.1.1.3	wie geht's
7.1.1.3	wie geht’s
7.1.1.4	ich weiß
7.1.1.4	wie sagt man
7.1.1.4	wie schreibt man
7.1.1.4	das ist nicht klar
7.1.1.4	das ist klar
7.1.1.5	ist es warm heute
7.1.1.5	ist es kalt heute
7.1.2.1	in der Schule
7.1.2.1	im Klassenzimmer
7.1.2.1	im Unterricht
7.1.2.1	mit Freunden
7.1.2.2	zu Hause
7.1.2.2	ich verstehe nicht
7.1.2.3	einmal die Woche
7.1.2.3	jeden Tag
7.1.2.6	es gibt
7.1.2.6	wie viele
7.1.2.7	ich wünsche mir
7.2.1.1	in Ordnung
7.2.2.1	Angst vor
7.2.2.4	mit wem
7.2.2.4	am Nachmittag
7.2.2.4	am Abend
7.2.2.4	am Wochenende
7.3.1.1	im Orchester
7.3.1.1	im Chor
8.2.1.5	es gab
8.3.1.6	auf der rechten Seite
8.3.1.6	auf der linken Seite
9.1.1.7	deutsche Demokratische Republik
9.1.1.7	eines Tages
9.2.1.4	wurde geboren
9.2.1.4	wurdest geboren
